y,width,height,r_top,r_bot
2200,940,1126,292,150
2300,917,1103,287,149
2400,892,1079,282,149
2500,865,1052,276,149
2600,835,1024,271,149
2700,804,993,266,149
2800,771,962,262,169
2900,737,929,258,190
3000,703,896,250,188
3100,669,862,250,187
3200,635,828,247,185
3300,603,795,242,183
3400,572,762,237,180
3500,543,730,231,178
3600,516,700,225,177
3700,491,671,218,175
3800,469,643,212,174
3900,450,617,206,173
4000,429,592,201,172
4100,413,569,195,171
4200,398,548,190,169
4300,383,528,185,167
4400,370,509,179,165
4500,359,492,174,163
4600,348,476,168,160
4700,338,462,163,158
4800,329,449,158,155
4900,321,436,152,151
5000,313,425,148,148
5100,306,414,144,144
5200,299,404,140,141
5300,293,394,137,137
5400,287,385,134,133
5500,281,376,132,129
5600,276,367,129,125
5700,270,359,127,122
5800,265,350,124,118
5900,260,341,122,115
6000,256,333,120,112
6100,251,324,117,110
6200,247,315,114,108
6300,243,306,111,107
6400,238,296,108,106
6500,234,287,106,105
6600,231,277,105,105
6700,227,271,105,105
6800,226,265,105,105
6900,224,260,105,105
7000,222,256,105,105
7100,221,252,104,104
7200,219,248,104,104
7300,218,244,104,104
7400,216,240,103,103
7500,214,236,103,103
7600,213,232,102,102
7700,211,228,102,102
7800,210,224,101,101
7900,208,220,101,101
8000,206,216,100,100
8100,205,212,100,100
8200,203,208,100,100
8300,202,204,100,100
8400,200,200,100,100
8500,184,184,92,92
8600,166,166,83,83
8700,150,150,75,75
8800,148,148,74,74
8900,130,130,65,65
9000,110,110,55,55
9100,92,92,46,46
9200,72,72,36,36
9300,50,50,25,25
9400,16,16,8,8
